inventario_id,centro_salud_id,medicamento_codigo,medicamento_nombre,stock_actual,stock_minimo,unidad_medida,fecha_ultima_entrada,fecha_caducidad,lote,proveedor
INV00001,CS001,MED001,Paracetamol 500mg,142,14,Tabletas,2025-06-03,2025-11-24,LOT1941,Donación
INV00002,CS001,MED002,Amoxicilina 500mg,55,42,Cápsulas,2025-05-17,2027-05-13,LOT9635,Secretaría de Salud
INV00003,CS001,MED003,Metformina 850mg,53,20,Tabletas,2025-05-15,2025-07-13,LOT3820,Compra directa
INV00004,CS001,MED004,Losartán 50mg,92,39,Tabletas,2025-05-30,2026-04-25,LOT8557,Secretaría de Salud
INV00005,CS001,MED005,Albendazol 400mg,33,24,Tabletas,2025-06-05,2026-09-04,LOT4652,Donación
INV00006,CS001,MED006,Suero oral,148,21,Sobre,2025-05-31,2026-04-30,LOT9516,IMSS
INV00007,CS001,MED007,Ibuprofeno 400mg,44,44,Tabletas,2025-05-19,2025-11-19,LOT3638,Compra directa
INV00008,CS001,MED008,Omeprazol 20mg,131,49,Cápsulas,2025-05-21,2026-01-24,LOT8587,Secretaría de Salud
INV00009,CS002,MED001,Paracetamol 500mg,62,27,Tabletas,2025-05-23,2026-06-11,LOT7842,IMSS
INV00010,CS002,MED002,Amoxicilina 500mg,48,47,Cápsulas,2025-05-17,2025-10-26,LOT5074,IMSS
INV00011,CS002,MED003,Metformina 850mg,163,26,Tabletas,2025-05-14,2027-01-25,LOT5305,Compra directa
INV00012,CS002,MED004,Losartán 50mg,199,10,Tabletas,2025-05-31,2026-10-19,LOT5954,Donación
INV00013,CS002,MED005,Albendazol 400mg,55,19,Tabletas,2025-05-17,2025-08-16,LOT6339,Secretaría de Salud
INV00014,CS002,MED006,Suero oral,127,17,Sobre,2025-05-09,2026-08-13,LOT5540,Compra directa
INV00015,CS002,MED007,Ibuprofeno 400mg,125,44,Tabletas,2025-05-16,2025-10-18,LOT5708,Secretaría de Salud
INV00016,CS002,MED008,Omeprazol 20mg,156,23,Cápsulas,2025-05-22,2026-01-22,LOT9805,Secretaría de Salud
INV00017,CS003,MED001,Paracetamol 500mg,25,14,Tabletas,2025-05-25,2026-04-10,LOT7113,Donación
INV00018,CS003,MED002,Amoxicilina 500mg,81,24,Cápsulas,2025-05-11,2026-07-25,LOT5660,Compra directa
INV00019,CS003,MED003,Metformina 850mg,21,30,Tabletas,2025-05-31,2027-03-30,LOT3202,Donación
INV00020,CS003,MED004,Losartán 50mg,76,26,Tabletas,2025-05-24,2025-11-21,LOT6438,Secretaría de Salud
INV00021,CS003,MED005,Albendazol 400mg,196,47,Tabletas,2025-06-03,2025-12-15,LOT3715,Compra directa
INV00022,CS003,MED006,Suero oral,163,34,Sobre,2025-06-01,2026-09-01,LOT4627,Secretaría de Salud
INV00023,CS003,MED007,Ibuprofeno 400mg,36,14,Tabletas,2025-05-31,2025-06-15,LOT9409,Donación
INV00024,CS003,MED008,Omeprazol 20mg,37,25,Cápsulas,2025-05-24,2025-12-08,LOT4873,Secretaría de Salud
INV00025,CS004,MED001,Paracetamol 500mg,165,45,Tabletas,2025-05-24,2026-08-04,LOT4143,Donación
INV00026,CS004,MED002,Amoxicilina 500mg,71,40,Cápsulas,2025-05-28,2027-06-06,LOT9464,Donación
INV00027,CS004,MED003,Metformina 850mg,101,25,Tabletas,2025-05-10,2026-07-16,LOT8901,Donación
INV00028,CS004,MED004,Losartán 50mg,155,23,Tabletas,2025-05-13,2027-01-27,LOT5853,Donación
INV00029,CS004,MED005,Albendazol 400mg,149,22,Tabletas,2025-05-15,2026-08-06,LOT5745,Donación
INV00030,CS004,MED006,Suero oral,200,48,Sobre,2025-05-11,2026-05-01,LOT7736,IMSS
INV00031,CS004,MED007,Ibuprofeno 400mg,178,29,Tabletas,2025-05-23,2025-07-14,LOT1007,Secretaría de Salud
INV00032,CS004,MED008,Omeprazol 20mg,152,38,Cápsulas,2025-05-09,2026-12-04,LOT4868,IMSS
INV00033,CS005,MED001,Paracetamol 500mg,934,168,Tabletas,2025-05-23,2026-01-04,LOT3472,IMSS
INV00034,CS005,MED002,Amoxicilina 500mg,150,91,Cápsulas,2025-06-06,2026-12-01,LOT7962,Donación
INV00035,CS005,MED003,Metformina 850mg,918,144,Tabletas,2025-05-31,2027-02-17,LOT1121,Compra directa
INV00036,CS005,MED004,Losartán 50mg,587,145,Tabletas,2025-05-27,2027-06-03,LOT6224,IMSS
INV00037,CS005,MED005,Albendazol 400mg,437,166,Tabletas,2025-05-21,2026-08-08,LOT8015,Donación
INV00038,CS005,MED006,Suero oral,349,118,Sobre,2025-06-04,2025-11-07,LOT5845,Secretaría de Salud
INV00039,CS005,MED007,Ibuprofeno 400mg,405,149,Tabletas,2025-05-10,2027-02-06,LOT8719,Donación
INV00040,CS005,MED008,Omeprazol 20mg,664,185,Cápsulas,2025-05-25,2025-07-30,LOT1749,Secretaría de Salud
